Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website;;;;;;;;;;;
Pig Iron Porter;1007;700;2;25;0;0;0;0;;Historically; porter had its heyday in 18th century London; where it was the beer of the working class. It doesn't take much to work up a thirst for this flavorful beer. The distinct roasted and chocolate notes are well balanced by a slight bitterness.;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;;;;
Ironbound Ale;1008;700;3;26;5;99999905;0;0;0;;Hold onto your beer mugs; because this medium-bodied beer has been overwhelmed with hop additions. Brewed as an American pale ale; it's a celebration of American hop varieties: Cascade; Crystal; Centennial and Chinook. You won't be disappointed.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;
Lodestone Lager;1009;700;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;;;;;;
Winter Ale;101;1185;1;13;6;300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;St Peter's Brewery;St Peter's Hall;Bungay;Suffolk;United Kingdom;36.7282; -76.5836;;;;;;;;;;
Anvil Ale;1010;700;1;5;4;800000191;0;0;0;;"English style best bitter. It is a traditional English pub ale that is easy drinking, often referred to as a ""session beer"". It is medium-bodied and copper colored with a noticeable malt flavor up front that finishes with a hop bitterness and floral hop flavor.";0;2010-07-22 22:00:00+02:00;Extra Special Bitter;British Ale;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;;;;;
Light Lager;1011;700;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;;;;;;
Brau Light;1012;227;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Brauhaus Brew Hall;111 Main Street;Lucan;Minnesota;United States;44.4105; -95.4107;http://www.braubrothersbrewing.com/;;;;;;;;;;
Dirty Bastard Scotch Style Ale;1013;549;1;15;8;5;0;0;0;;Founders flagship beer. Dirty Bastard is an absolute beautiful beer to behold. Dark ruby in color and brewed with ten varieties of imported malts this beer continuously lives up to its reputation as a bold and powerful ale. Dirty Bastard is complex in the finish with hints of smoke and peat paired with a malty richness; finalized with a good bit of hop attitude.  This beer ain't for the wee lads.;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Founders Brewing;235 Grandville Avenue SW;Grand Rapids;Michigan;United States;42.9585; -85.6735;http://www.foundersbrewing.com/;;;;;;;;
Eagle Lake Pale Ale;1014;71;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Bandana Brewery;;Mankato;Minnesota;United States;44.1636; -93.9994;;;;;;;;;;;
Rapidan Brown;1015;71;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Bandana Brewery;;Mankato;Minnesota;United States;44.1636; -93.9994;;;;;;;;;;;
Saint Peter Red;1016;71;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Bandana Brewery;;Mankato;Minnesota;United States;44.1636; -93.9994;;;;;;;;;;;
Mankato Gold;1017;71;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bandana Brewery;;Mankato;Minnesota;United States;44.1636; -93.9994;;;;;;;;;;;
Anniversary Ale;1018;71;1;13;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Bandana Brewery;;Mankato;Minnesota;United States;44.1636; -93.9994;;;;;;;;;;;
Kasota IPA;1019;71;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Bandana Brewery;;Mankato;Minnesota;United States;44.1636; -93.9994;;;;;;;;;;;
Pride & Joy Mild Ale;102;1260;1;10;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;English-Style Pale Mild Ale;British Ale;Three Floyds Brewing;9750 Indiana Parkway;Munster;Indiana;United States;41.5354; -87.5158;http://www.threefloydspub.com/;;;;;;;;;;
The Beast Grand Cru;1020;62;5;66;14;89999962;0;0;0;;The Beast is a seducer - accommodating; complicated; powerful; dark and created to last the ages. With a deep burgundy color and aromas of honey; nutmeg; mandarin orange and pineapple; this massive and challenging brew has flavors akin to a beautiful Carribean rum. Dates; plums; raisins and molasses are dominant in a rich vinous texture. Cellarable for 10+ years.;0;2010-07-22 22:00:00+02:00;Belgian-Style Dark Strong Ale;Belgian and French Ale;Avery Brewing Company;5763 Arapahoe Avenue;Boulder;Colorado;United States;40.0166; -105.219;http://www.averybrewing.com/;
Four;1021;23;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Allagash Brewing;100 Industrial Way;Portland;Maine;United States;43.7028; -70.3166;http://www.allagash.com/;;;;;;;;;;
Special Extra Export Stout;1022;272;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Dolle Brouwers;Roeselarestraat 12b;Esen;West-Vlaanderen;Belgium;51.0281; 2.9038;http://www.dedollebrouwers.be/;;;;;;;;;;
Pilsner;1023;521;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Firehouse Brewery & Restaurant;;Red Oak;Iowa;United States;41.0117; -95.2272;;;;;;;;;;;
Lemon Wheat;1024;521;11;116;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Light American Wheat Ale or Lager;Other Style;Firehouse Brewery & Restaurant;;Red Oak;Iowa;United States;41.0117; -95.2272;;;;;;;;;;;
Stout;1025;521;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Firehouse Brewery & Restaurant;;Red Oak;Iowa;United States;41.0117; -95.2272;;;;;;;;;;;
Bock;1026;521;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Firehouse Brewery & Restaurant;;Red Oak;Iowa;United States;41.0117; -95.2272;;;;;;;;;;;
Long Face Amber;1027;942;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Olde Main Brewing;316 Main Street;Ames;Iowa;United States;42.0248; -93.6147;;;;;;;;;;;
Marzen Lager;1028;942;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Olde Main Brewing;316 Main Street;Ames;Iowa;United States;42.0248; -93.6147;;;;;;;;;;;
Off KIL Ter Scottish Ale;1029;942;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Olde Main Brewing;316 Main Street;Ames;Iowa;United States;42.0248; -93.6147;;;;;;;;;;;
Robert the Bruce Scottish Ale;103;1260;1;15;7;0;0;0;;A big malty body from chocolate and roasted malts; well balanced with just the right combination of hops. Robust yet smooth; a true malt-lover's delight.;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Three Floyds Brewing;9750 Indiana Parkway;Munster;Indiana;United States;41.5354; -87.5158;http://www.threefloydspub.com/;;;;;;;;
Mild Brown;1031;942;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Olde Main Brewing;316 Main Street;Ames;Iowa;United States;42.0248; -93.6147;;;;;;;;;;;
Caramel Apple Ale;1032;942;1;10;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;English-Style Pale Mild Ale;British Ale;Olde Main Brewing;316 Main Street;Ames;Iowa;United States;42.0248; -93.6147;;;;;;;;;;;
Wexford Irish Cream Ale;1033;612;11;113;5;0;0;0;;Based on a traditional Irish recipe from county Wexford that dates back to 1810; we use only the best ingredients to ensure that our Wexford Ale has a smooth mellow creaminess we believe you will enjoy.;0;2010-07-22 22:00:00+02:00;American-Style Cream Ale or Lager;Other Style;Greene King;Westgate Street;Bury St. Edmunds;Suffolk;United Kingdom;52.241; 0.7157;;;;;;;;;;
Grand Cru;1034;23;-1;-1;7;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Allagash Brewing;100 Industrial Way;Portland;Maine;United States;43.7028; -70.3166;http://www.allagash.com/;;;;;;;;;
Old Guardian Barley Wine 2005;1035;1204;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;;
Wee Heavy;1036;98;1;15;6;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Belhaven Brewery;Spott Road;East Lothian;Scotland;United Kingdom;55.997; -2.5098;;;;;;;;;;
Roza Reserve;1037;1162;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Snipes Mountain Microbrewery & Restaurant;905 Yakima Valley Highway;Sunnyside;Washington;United States;46.3284; -120.008;;;;;;;;;;;
Winterfestival;1038;26;7;84;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Allguer Brauhaus AG Kempten;Beethovenstrae 7;Kempten;Bayern;Germany;47.7237; 10.3141;;;;;;;;;;
Winterfestival;1038;26;7;84;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Allguer Brauhaus AG Kempten;Beethovenstrae 7;Kempten;Bayern;Germany;47.7487; 10.5694;;;;;;;;;;
St. Martin Doppelbock;1039;15;7;90;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Aktienbrauerei Kaufbeuren;Hohe Buchleuthe 3;Kaufbeuren;Bayern;Germany;47.8781; 10.6161;http://www.aktien-brauerei.de/;;;;;;;;;
Lump of Coal Dark Holiday Stout;104;1056;3;42;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Ridgeway Brewing;6 Chapel Close;South Stoke;Oxford;United Kingdom;51.5462; -1.1355;;;;;;;;;;;
Jubil�_ums German Pils;1040;15;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Aktienbrauerei Kaufbeuren;Hohe Buchleuthe 3;Kaufbeuren;Bayern;Germany;47.8781; 10.6161;http://www.aktien-brauerei.de/;;;;;;;;;;
Bayrisch Hell;1041;26;-1;-1;4;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Allguer Brauhaus AG Kempten;Beethovenstrae 7;Kempten;Bayern;Germany;47.7237; 10.3141;;;;;;;;;;
Bayrisch Hell;1041;26;-1;-1;4;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Allguer Brauhaus AG Kempten;Beethovenstrae 7;Kempten;Bayern;Germany;47.7487; 10.5694;;;;;;;;;;
Sprecher Doppelbock;1042;1181;7;92;7;849999905;0;0;0;;This dark lager was originally brewed as liquid bread to sustain Bavarian monks while fasting. Its sweet complex malt character comes from brewing with many varieties of dark roasted caramel malts and long periods of cold storage (6 months).;0;2010-07-22 22:00:00+02:00;German-Style Doppelbock;German Lager;Sprecher Brewing;701 West Glendale Avenue;Glendale;Wisconsin;United States;43.1; -87.9198;http://www.sprecherbrewery.com/;;;;;;;;;
Gingered Ale;1043;1295;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Twin Ports Brewing;;Superior;Wisconsin;United States;46.7208; -92.1041;;;;;;;;;;;
Bourbon Barrel Scotch Ale;1044;1295;-1;-1;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Twin Ports Brewing;;Superior;Wisconsin;United States;46.7208; -92.1041;;;;;;;;;;
Burntwood Black Ale;1045;1295;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Twin Ports Brewing;;Superior;Wisconsin;United States;46.7208; -92.1041;;;;;;;;;;;
Derailed Ale;1046;1295;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Twin Ports Brewing;;Superior;Wisconsin;United States;46.7208; -92.1041;;;;;;;;;;;
Haba̱ero;1047;527;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;;
1100 Wheat Wine;1048;527;-1;-1;11;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;
Witchtree ESB;1049;527;-1;-1;5;599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;
Warm Welcome Nut Browned Ale;105;1056;3;38;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Ridgeway Brewing;6 Chapel Close;South Stoke;Oxford;United Kingdom;51.5462; -1.1355;;;;;;;;;;;
Big Boat Oatmeal Stout;1050;527;3;42;6;599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;
XXX English Ale;1051;527;3;26;6;599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;
El Ni̱o IPA;1052;527;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;;
Starfire Pale Ale;1053;527;3;26;6;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;
Farmhouse Reserve;1054;527;-1;-1;6;300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;
Lighthouse Ale;1055;527;8;95;4;400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Fitger's Brewhouse; Brewery and Grill;600 East Superior Street;Duluth;Minnesota;United States;46.7926; -92.0909;;;;;;;;;
Chocolate Mint Stout;1056;1169;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;South Shore Brewery;808 West Main Street;Ashland;Wisconsin;United States;46.5872; -90.8921;;;;;;;;;;;
Porter;1057;1169;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;South Shore Brewery;808 West Main Street;Ashland;Wisconsin;United States;46.5872; -90.8921;;;;;;;;;;;
Pale Ale;1058;1169;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;South Shore Brewery;808 West Main Street;Ashland;Wisconsin;United States;46.5872; -90.8921;;;;;;;;;;;
Nut Brown Ale;1059;1169;3;38;4;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;South Shore Brewery;808 West Main Street;Ashland;Wisconsin;United States;46.5872; -90.8921;;;;;;;;;;
Pendle Witches Brew;106;884;3;26;5;99999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Moorhouse's Brewery (Burnley);4 Moorhouse Street;Burnley;Lancashire;United Kingdom;53.7864; -2.2694;;;;;;;;;;
Honey Pilsner;1060;1169;8;95;4;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;South Shore Brewery;808 West Main Street;Ashland;Wisconsin;United States;46.5872; -90.8921;;;;;;;;;;
Cream Ale;1061;1169;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;South Shore Brewery;808 West Main Street;Ashland;Wisconsin;United States;46.5872; -90.8921;;;;;;;;;;;
Moneuse Speciale No��l;1062;170;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de Blaugies;Rue de la Frontire;435;Blaugies;Hainaut;Belgium;50.3693; 3.827;;;;;;;;;;
Speciale No��l;1063;192;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie Fantme;Rue Pral 8;Soy;Luxembourg;Belgium;50.286; 5.5127;;;;;;;;;;;
Christmas Ale;1064;246;-1;-1;8;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brewery Corsendonk;Steenweg op Mol 118;Oud-Turnhout;Antwerpen;Belgium;51.3144; 4.989;;;;;;;;;;
K-O Blond Beer;1065;432;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159; 3.8158;;;;;;;;;;;
Brune / Bruin;1066;295;-1;-1;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij St-Feuillien;20; rue d'Houdeng;Le Roeulx;Hainaut;Belgium;50.5018; 4.1086;;;;;;;;;
Grotten Brown;1067;296;3;29;6;699999809;0;0;0;;The latest acquisition ���Grottenbier�۝ was created by Master Brewer Pierre Celis. It is an aromatic dark beer with 6.5% alcohol content.   In the marl pits in Kanne ( Belgium) and Valkenburg (the Netherlands); deep under the ground; you can taste the Grottenbier in a constant temperature of 11� Celsius.   As it is the case with Champagne; the bottles are placed in a ���pupitre�۝ with results in an additional fermentation.    This beer with a high fermentation with a second fermentation in the bottle has been pointed out as one of the best 10 present-day beers by beer guru Michael Jackson.;0;2010-07-22 22:00:00+02:00;Dark American-Belgo-Style Ale;North American Ale;Brouwerij St. Bernardus;Trappistenweg 23;Watou;West-Vlaanderen;Belgium;50.8425; 2.6362;http://www.sintbernardus.be;;;;;;
Barley Wine Ale;1068;447;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713; -123.007;;;;;;;;;;;
Doggie Claws 2004;1069;622;-1;-1;11;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hair of the Dog Brewing;4509 SE 23rd Avenue;Portland;Oregon;United States;45.4901; -122.643;;;;;;;;;;
Carnegie Stark-Porter;107;345;2;25;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Carlsberg Sverige AB;rstadvgen;Falkenberg;;Sweden;56.9002; 12.5405;;;;;;;;;;
Imperial Stout;1070;765;3;42;8;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Lagunitas Brewing Company;1280 North McDowell Boulevard;Petaluma;California;United States;38.2724; -122.662;http://www.lagunitas.com/;;;;;;;;;
Censored (aka The Kronic);1071;765;3;33;5;900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Lagunitas Brewing Company;1280 North McDowell Boulevard;Petaluma;California;United States;38.2724; -122.662;http://www.lagunitas.com/;;;;;;;;;
Wee Beast;1072;703;1;15;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Isle of Skye Brewing Company;The Pier;Isle of Skye;Scotland;United Kingdom;56.4907; -4.2026;;;;;;;;;;;
Bloesem Bink;1073;286;-1;-1;7;99999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Kerkom;Naamsesteenweg 469;Kerkom;Limburg;Belgium;50.7763; 5.166;;;;;;;;;;
Loterbol;1074;282;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Duysters;Michel Theysstraat 58A;Diest;Vlaams Brabant;Belgium;50.9882; 5.0554;;;;;;;;;;;
IPA;1075;1242;3;31;6;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Terminal Gravity Brewing;803 SE School Street;Enterprise;Oregon;United States;45.4192; -117.272;;;;;;;;;;
Ruth;1076;622;-1;-1;4;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hair of the Dog Brewing;4509 SE 23rd Avenue;Portland;Oregon;United States;45.4901; -122.643;;;;;;;;;;
Mojave Gold;1077;693;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Indian Wells Brewing;2565 North Highway 14;Inyokern;California;United States;35.6675; -117.874;;;;;;;;;;;
Eastern Sierra Lager;1078;693;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Indian Wells Brewing;2565 North Highway 14;Inyokern;California;United States;35.6675; -117.874;;;;;;;;;;;
Princess of Darkness Porter;1079;1366;2;25;5;400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;William Kuether Brewing;;Clear Lake;Wisconsin;United States;45.2519; -92.2713;;;;;;;;;;
Harvest Ale 2002;108;727;1;13;11;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;JW Lees and Co (Brewers) Ltd.;Middleton Junction;Manchester;Manchester;United Kingdom;53.5412; -2.1734;;;;;;;;;;
Mojave Red;1080;693;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Indian Wells Brewing;2565 North Highway 14;Inyokern;California;United States;35.6675; -117.874;;;;;;;;;;;
Desert Pale Ale;1081;693;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Indian Wells Brewing;2565 North Highway 14;Inyokern;California;United States;35.6675; -117.874;;;;;;;;;;;
Plaid Bastard;1082;592;1;15;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Grand Lake Brewing;915 Grand Avenue;Grand Lake;Colorado;United States;40.2518; -105.82;;;;;;;;;;;
Dos Rios Vienna Lager;1083;577;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Glenwood Canyon Brewing Company;402 Seventh Street;Glenwood Springs;Colorado;United States;39.5476; -107.323;;;;;;;;;;;
Rye On;1084;371;8;95;4;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Chama River Brewing;4939 Pan American Freeway NE;Albuquerque;New Mexico;United States;35.14; -106.6;;;;;;;;;;
Black Lab Stout;1085;116;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Big Dog's Brewing Company;4543 North Rancho Road;Las Vegas;Nevada;United States;36.2426; -115.236;;;;;;;;;;;
Loyal Duke Scotch Ale;1086;36;1;15;8;600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Amicas Pizza; Microbrews and More;136 East Second Street;Salida;Colorado;United States;38.535; -105.992;;;;;;;;;
Amber;1087;822;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Mammoth Brewing;24 Lake Mary Road;Mammoth Lakes;California;United States;37.6484; -118.983;;;;;;;;;;;
Jubilee Ale;1088;702;1;13;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Island Brewing Company;5049 Sixth Street;Carpinteria;California;United States;;;;;;;;;;;;;
Mocha Joe;1089;382;-1;-1;8;100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;CJ's Brewery & Grill;;La Jolla;California;United States;33.8575; -117.876;;;;;;;;;;
Woody Organic IPA;109;1075;3;31;6;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Roots Organic Brewing;1520 SE Seventh Avenue;Portland;Oregon;United States;45.5118; -122.659;;;;;;;;;;
Otis Alt;1090;491;3;38;5;300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Elk Grove Brewery & Restaurant;9085 Elk Grove Boulevard;Elk Grove;California;United States;38.4093; -121.363;;;;;;;;;;
